iter	RMSE
0	0.1508022755
1	0.1499268689
2	0.1490651592
3	0.1482135018
4	0.1473739223
5	0.146546243
6	0.1457303733
7	0.1449548852
8	0.1441605899
9	0.1433777331
10	0.1426042659
11	0.1418419881
12	0.1410907781
13	0.1403505758
14	0.1396183402
15	0.1388962664
16	0.1381807441
17	0.1374796153
18	0.1368088568
19	0.1361217057
20	0.1354424608
21	0.1347722254
22	0.1341115809
23	0.1334552544
24	0.1328087197
25	0.1321722757
26	0.1315147257
27	0.1309161093
28	0.1303329489
29	0.1296984093
30	0.129108371
31	0.1285297521
32	0.1279164589
33	0.1273120492
34	0.1267538293
35	0.1261962105
36	0.125616597
37	0.125036561
38	0.1244882346
39	0.1239601298
40	0.1234008658
41	0.122853837
42	0.1223098721
43	0.1217943735
44	0.1212964858
45	0.1207607552
46	0.1202689788
47	0.1197549511
48	0.1192488606
49	0.118753002
50	0.1182778562
51	0.1177960198
52	0.1173068419
53	0.1168373009
54	0.1163571294
55	0.1158818177
56	0.1154496086
57	0.1149908083
58	0.1145485847
59	0.1141278372
60	0.1136775994
61	0.1132326455
62	0.1128203222
63	0.1123984966
64	0.1119821701
65	0.1115558182
66	0.111149383
67	0.1107414638
68	0.1103588829
69	0.1099749711
70	0.1095830411
71	0.1091772762
72	0.1087926657
73	0.1084292572
74	0.1080393873
75	0.1076698816
76	0.1073155431
77	0.1069691784
78	0.1065939249
79	0.1062401359
80	0.1058746429
81	0.1055127964
82	0.1051700017
83	0.1048317567
84	0.1044943525
85	0.1041496265
86	0.1038224911
87	0.1034875199
88	0.1031549434
89	0.1028479817
90	0.1025373108
91	0.1022210186
92	0.1019136609
93	0.1016154619
94	0.1013037637
95	0.1010074477
96	0.1006993672
97	0.1004092068
98	0.1001208665
99	0.099841006
100	0.09955057327
101	0.09926549475
102	0.09896137328
103	0.09868952206
104	0.09842037009
105	0.09815280673
106	0.09788248039
107	0.09761429697
108	0.09734709244
109	0.0970922175
110	0.09682803755
111	0.09658309771
112	0.09630393377
113	0.09605434065
114	0.09580670862
115	0.09553218338
116	0.09529138056
117	0.09505668039
118	0.09481325364
119	0.09457073783
120	0.09434175631
121	0.09410843689
122	0.09385413985
123	0.09359898743
124	0.0933597213
125	0.09313453538
126	0.09291126161
127	0.09267953211
128	0.09245168106
129	0.092228136
130	0.09200368521
131	0.09177210586
132	0.09156214772
133	0.09135567211
134	0.09115383806
135	0.09095589599
136	0.09074799859
137	0.09053313361
138	0.09032260127
139	0.09011964464
140	0.0899120539
141	0.08972145842
142	0.08951699077
143	0.08931855736
144	0.08912595377
145	0.08894101139
146	0.08874714511
147	0.08856032033
148	0.08837260699
149	0.08819567162
150	0.08802432745
151	0.08783541996
152	0.08765555124
153	0.08747159214
154	0.08727975383
155	0.08711076141
156	0.08692842904
157	0.08675026369
158	0.08658163564
159	0.08641543507
160	0.08623643304
161	0.08607006773
162	0.08590285252
163	0.08574399004
164	0.08558988937
165	0.08541572128
166	0.08525656308
167	0.08509825803
168	0.08493602775
169	0.0847793084
170	0.08462458306
171	0.0844684149
172	0.0842999124
173	0.08413179932
174	0.08398002114
175	0.08381871845
176	0.08367628539
177	0.0835366402
178	0.08339240742
179	0.08324787593
