iter	Passed	Remaining
0	1	615
1	2	582
2	3	583
3	4	576
4	5	582
5	6	576
6	8	577
7	9	574
8	10	569
9	11	572
10	12	574
11	14	582
12	15	580
13	16	577
14	17	575
15	18	572
16	20	569
17	21	570
18	22	566
19	23	568
20	24	567
21	25	564
22	27	561
23	28	560
24	29	559
25	30	559
26	31	559
27	33	569
28	35	569
29	36	567
30	37	568
31	38	566
32	39	566
33	41	565
34	42	565
35	43	565
36	45	563
37	46	561
38	47	559
39	48	559
40	49	558
41	51	556
42	52	556
43	53	554
44	54	554
45	56	553
46	57	550
47	58	550
48	59	549
49	60	546
50	61	545
51	63	542
52	64	547
53	66	545
54	67	543
55	68	541
56	69	541
57	70	539
58	72	538
59	73	538
60	74	537
61	75	535
62	76	533
63	78	532
64	79	529
65	80	528
66	81	526
67	82	524
68	83	523
69	84	521
70	85	519
71	87	517
72	88	517
73	89	516
74	91	516
75	92	515
76	93	514
77	94	512
78	95	511
79	97	509
80	98	511
81	100	510
82	101	510
83	102	509
84	104	509
85	105	507
86	106	507
87	108	506
88	109	505
89	110	503
90	111	501
91	112	500
92	113	498
93	115	496
94	116	495
95	117	493
96	118	492
97	119	491
98	120	489
99	121	487
100	123	486
101	124	484
102	125	483
103	126	481
104	127	479
105	129	480
106	130	479
107	131	477
108	133	477
109	134	475
110	135	474
111	136	472
112	137	471
113	138	469
114	139	468
115	140	466
116	142	465
117	143	463
118	144	462
119	145	460
120	146	458
121	148	458
122	149	457
123	150	456
124	151	455
125	153	454
126	154	452
127	155	451
128	156	450
129	157	449
130	158	447
131	160	446
132	161	446
133	163	445
134	164	444
135	165	443
136	166	441
137	168	440
138	169	439
139	170	438
140	171	436
141	172	435
142	173	433
143	174	432
144	175	430
145	177	429
146	178	428
147	179	426
148	180	425
149	181	423
150	182	422
151	183	420
152	184	419
153	185	417
154	187	416
155	188	415
156	189	413
157	190	412
158	191	411
159	192	410
160	194	408
161	195	407
162	196	406
163	197	404
164	198	403
165	199	402
166	200	400
167	202	399
168	203	397
169	204	396
170	205	395
171	207	394
172	208	393
173	209	392
174	210	391
175	211	389
176	212	388
177	214	387
178	215	385
179	216	384
180	217	383
181	218	382
182	220	381
183	221	379
184	222	378
185	223	377
186	225	378
187	227	376
188	228	375
189	229	374
190	230	373
191	231	371
192	232	370
193	234	369
194	235	367
195	236	366
196	237	365
197	238	364
198	239	362
199	240	361
200	242	360
201	243	358
202	244	357
203	245	356
204	246	354
205	247	353
206	248	352
207	249	350
208	251	349
209	252	348
210	253	347
211	254	345
212	255	344
213	256	343
214	259	344
215	260	342
216	262	341
217	263	340
218	264	339
219	265	338
220	266	336
221	268	335
222	269	334
223	270	333
224	271	331
225	272	330
226	274	329
227	275	328
228	276	327
229	277	325
230	278	324
231	280	323
232	281	322
233	282	321
234	283	319
235	284	318
236	286	317
237	287	316
238	288	314
239	289	313
240	290	312
241	291	311
242	292	309
243	294	308
244	295	307
245	296	306
246	297	305
247	299	304
248	300	302
249	301	301
250	302	300
251	303	298
252	304	297
253	306	296
254	307	295
255	308	293
256	309	292
257	310	291
258	311	290
259	313	289
260	314	287
261	315	286
262	316	285
263	317	283
264	318	282
265	319	281
266	321	280
267	322	279
268	323	278
269	325	277
270	326	275
271	327	274
272	328	273
273	329	271
274	330	270
275	331	269
276	333	268
277	334	267
278	335	265
279	336	264
280	337	263
281	338	261
282	340	260
283	341	259
284	342	258
285	343	257
286	344	255
287	346	254
288	347	253
289	348	252
290	349	251
291	350	249
292	352	248
293	353	247
294	355	246
295	356	245
296	357	244
297	359	243
298	360	242
299	361	241
300	363	240
301	364	239
302	365	237
303	366	236
304	368	235
305	369	234
306	370	233
307	371	231
308	373	230
309	374	229
310	375	228
311	376	226
312	377	225
313	379	224
314	380	223
315	381	222
316	382	220
317	383	219
318	385	218
319	386	217
320	387	216
321	388	214
322	390	213
323	391	212
324	392	211
325	393	210
326	394	208
327	396	207
328	397	206
329	398	205
330	399	204
331	401	203
332	402	201
333	403	200
334	404	199
335	405	198
336	407	196
337	408	195
338	409	194
339	410	193
340	411	191
341	412	190
342	414	189
343	415	188
